card_name_a,card_name_b,games,wins,win_rate,win_lift_vs_baseline
Lady - Miss Park Avenue,Nani - Stage Manager,8,6,0.75,0.15369393139841692
Sisu - Empowered Sibling,Vision of the Future,8,6,0.75,0.15369393139841692
Someone Will Lose His Head,What Else Can I Do?,8,6,0.75,0.15369393139841692
Tipo - Growing Son,What Else Can I Do?,8,6,0.75,0.15369393139841692
Basil's Magnifying Glass,Maurice's Workshop,195,146,0.7487179487179487,0.15241188011636564
Basil's Magnifying Glass,Inkrunner,179,134,0.7486033519553073,0.15229728335372417
Gold Coin,Unconventional Tool,103,77,0.7475728155339806,0.1512667469323975
Maui - Hero to All,Sisu - Empowered Sibling,55,41,0.7454545454545455,0.1491484768529624
Might Solve a Mystery,Sisu - Daring Visitor,55,41,0.7454545454545455,0.1491484768529624
Unconventional Tool,Vitalisphere,171,127,0.7426900584795322,0.1463839898779491
Might Solve a Mystery,Pawpsicle,58,43,0.7413793103448276,0.14507324174324454
Basil's Magnifying Glass,Belle - Apprentice Inventor,145,107,0.7379310344827587,0.14162496588117557
Maui - Half-Shark,Scuttle - Birdbrained,19,14,0.7368421052631579,0.14053603666157477
"Next Stop, Olympus",Scuttle - Birdbrained,19,14,0.7368421052631579,0.14053603666157477
Inkrunner,Might Solve a Mystery,53,39,0.7358490566037735,0.13954298800219045
Oswald - The Lucky Rabbit,Unconventional Tool,215,158,0.7348837209302326,0.1385776523286495
Inkrunner,Unconventional Tool,211,155,0.7345971563981043,0.13829108779652122
Sisu - Daring Visitor,Tamatoa - Happy as a Clam,15,11,0.7333333333333333,0.1370272647317502
Basil's Magnifying Glass,Pawpsicle,206,151,0.7330097087378641,0.136703640136281
Pawpsicle,Unconventional Tool,235,172,0.7319148936170212,0.13560882501543814
Might Solve a Mystery,Sapphire Coil,59,43,0.7288135593220338,0.13250749072045076
Oswald - The Lucky Rabbit,Scrooge McDuck - Resourceful Miser,330,240,0.7272727272727273,0.1309666586711442
Gold Coin,Inkrunner,143,104,0.7272727272727273,0.1309666586711442
Gold Coin,Sisu - Daring Visitor,132,96,0.7272727272727273,0.1309666586711442
Brawl,Might Solve a Mystery,22,16,0.7272727272727273,0.1309666586711442
"Next Stop, Olympus",Vision of the Future,22,16,0.7272727272727273,0.1309666586711442
Fishbone Quill,Hidden Inkcaster,11,8,0.7272727272727273,0.1309666586711442
Hidden Inkcaster,Scrooge McDuck - Resourceful Miser,11,8,0.7272727272727273,0.1309666586711442
Maui's Fish Hook,Maurice's Workshop,11,8,0.7272727272727273,0.1309666586711442
Mulan - Resourceful Recruit,Webby Vanderquack - Mystery Enthusiast,11,8,0.7272727272727273,0.1309666586711442
Inkrunner,Oswald - The Lucky Rabbit,326,237,0.7269938650306749,0.13068779642909178
Basil's Magnifying Glass,Brawl,76,55,0.7236842105263158,0.12737814192473274
Gold Coin,Scrooge McDuck - Resourceful Miser,148,107,0.722972972972973,0.12666690437138994
Maurice's Workshop,Oswald - The Lucky Rabbit,379,274,0.7229551451187335,0.1266490765171504
Belle - Apprentice Inventor,Gold Coin,118,85,0.7203389830508474,0.12403291444926434
"Next Stop, Olympus",Sail the Azurite Sea,25,18,0.72,0.12369393139841689
Oswald - The Lucky Rabbit,Pawpsicle,385,277,0.7194805194805195,0.12317445087893641
Liquidator - Iced Over,Oswald - The Lucky Rabbit,64,46,0.71875,0.12244393139841692
Maui - Half-Shark,Sail the Azurite Sea,32,23,0.71875,0.12244393139841692
Gold Coin,Maurice's Workshop,167,120,0.718562874251497,0.12225680564991392
Maurice's Workshop,Unconventional Tool,245,176,0.7183673469387755,0.12206127833719238
Belle - Apprentice Inventor,Oswald - The Lucky Rabbit,259,186,0.7181467181467182,0.12184064954513507
Belle - Apprentice Inventor,Scrooge McDuck - Resourceful Miser,255,183,0.7176470588235294,0.12134099022194633
Oswald - The Lucky Rabbit,Sapphire Coil,354,254,0.7175141242937854,0.12120805569220228
Sisu - Daring Visitor,Unconventional Tool,198,142,0.7171717171717171,0.12086564857013404
Gold Coin,Sapphire Coil,159,114,0.7169811320754716,0.12067506347388857
Gold Coin,Vitalisphere,127,91,0.7165354330708661,0.120229364469283
Gold Coin,Pawpsicle,165,118,0.7151515151515152,0.11884544654993212
Brom Bones - Burly Bully,Unconventional Tool,14,10,0.7142857142857143,0.11797964568413122
Cogsworth - Grandfather Clock,Vision of the Future,14,10,0.7142857142857143,0.11797964568413122
Ariel - Spectacular Singer,The Muses - Proclaimers of Heroes,7,5,0.7142857142857143,0.11797964568413122
Basil's Magnifying Glass,Maui's Fish Hook,7,5,0.7142857142857143,0.11797964568413122
Be Prepared,Sisu - Empowered Sibling,7,5,0.7142857142857143,0.11797964568413122
Diablo - Maleficent's Spy,Mowgli - Man Cub,7,5,0.7142857142857143,0.11797964568413122
Diablo - Obedient Raven,Keep the Ancient Ways,7,5,0.7142857142857143,0.11797964568413122
Eilonwy - Princess of Llyr,Tramp - Enterprising Dog,7,5,0.7142857142857143,0.11797964568413122
